unnamed:_0_level_0_rk,player,team,market_value,unnamed:_2_level_0_nation,position,age,unnamed:_6_level_0_born,playing_time_mp,playing_time_starts,minutes,nineties,goals,assists,g+a,g-pk,pk,pkatt,crdy_x,crdr_x,xg,npxg,xag,npxg+xag,progression_prgc,progression_prgp,progression_prgr,goals_per90,assists_per90,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,xg_per90,xag_per90,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,unnamed:_36_level_0_matches,gls,sh,sot,sotpct,sh_90,sot_90,g_sh,g_sot,dist,fk,pk.1,pkatt.1,xg_alt,npxg_y,npxg_sh,g-xg,np:g-xg,total_cmp,total_att,total_cmppct,total_totdist,total_prgdist,short_cmp,short_att,short_cmppct,medium_cmp,medium_att,medium_cmppct,long_cmp,long_att,long_cmppct,xa,a-xag,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tklpct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succpct,take-ons_tkld,take-ons_tkldpct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,crdy_y,crdr_y,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,aerial_duels_won,aerial_duels_lost,aerial_duels_wonpct,season,crdy,crdr,xg_xag_total,position_primary,position_group,age_squared,log_market_value,psi,season_year,long_cmp_rate,predicted_value,value_gap,age_multiplier,future_value,value_gap_future,youth_safety_penalty,pass_completion_rate,psxg,aerial_duels_wonpct_pct,take-ons_succpct_pct,xg_per90_pct,medium_cmppct_pct,touches_def_pen_pct,carries_prgdist_pct,sh_pct,goals_per90_pct,long_cmppct_pct,progression_prgr_pct,progression_prgp_pct,total_cmppct_pct,xag_per90_pct,assists_per90_pct,short_cmppct_pct,long_cmp_rate_pct,blocks_blocks_pct,tackles_tkl_pct,int_pct,predicted_value_new,team_fit_score,ranking_score
113,Aaron Cresswell,West Ham,1.2,eng ENG,DF,32.0,1989.0,28,24,2235,24.8,0,1,1,0,0,0,3.0,0.0,0.3,0.3,3.7,4.0,35,145,82,0.0,0.0402684563758389,0.04,0.0,0.04,0.0120805369127516,0.148993288590604,0.16,0.01,0.16,Matches,0,9,1,11.1,0.36,0.04,0.0,0.0,22.5,4,0,0,0.3,0.3,0.04,-0.3,-0.3,1127,1448,77.8,18285,8587,626,670,93.4,387,497,77.9,100,206,0.485,2.9,-2.7,21,11,12,7,2,12,31,38.7,19,21,11,10,1607,0.0764984227129337,507,668,438,13,1607,7,2,28.6,4,57.1,766,3497,1751,35,26,1,6,6,960,82,3.0,0.0,0.0,9.0,9.0,2.0,133.0,27.0,11.0,0.0,0.0,0.0,120.0,28.0,27.0,50.9,2022-23,,,4.0,DF,Defender,1024.0,0.7884573603642702,0.1449391771874286,2022,0.4854368932038835,19.473309349840914,6.172272280932126,0.8,16.552312947364776,15.352312947364776,0,77.8,0.3,0.5547945205479452,,,,,0.7041095890410959,,,,,0.9671232876712328,,,,,,0.6150684931506849,0.4780821917808219,0.8287671232876712,19.473309349840914,,
230,Aaron Hickey,Brentford,25.0,sct SCO,DF,20.0,2002.0,26,23,1916,21.3,0,1,1,0,0,0,7.0,0.0,0.4,0.4,0.4,0.8,41,81,47,0.0,0.0469728601252609,0.05,0.0,0.05,0.0187891440501043,0.0187891440501043,0.04,0.02,0.04,Matches,0,11,2,18.2,0.52,0.09,0.0,0.0,21.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,695,838,82.9,10998,3275,373,411,90.8,265,310,85.5,46,80,0.5750000000000001,0.6,0.6,38,26,27,11,0,18,32,56.3,14,18,7,11,1028,0.0370662460567823,328,499,211,21,1028,45,17,37.8,18,40.0,616,3295,1802,41,17,3,16,13,624,47,7.0,0.0,0.0,20.0,35.0,1.0,27.0,17.0,26.0,0.0,1.0,0.0,111.0,14.0,22.0,38.9,2022-23,,,0.8,DF,Defender,400.0,3.258096538021482,0.1805165632633182,2022,0.575,21.659481239708864,2.7959133206872195,1.3,27.07435154963608,2.0743515496360807,0,82.9,0.4,0.4013698630136986,,,,,0.7205479452054795,,,,,0.7876712328767124,,,,,,0.552054794520548,0.7232876712328767,0.647945205479452,21.659481239708864,,
422,Aaron Ramsdale,Arsenal,40.0,eng ENG,GK,24.0,1998.0,38,38,3420,38.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,761,1111,68.5,18974,13109,190,196,96.9,383,390,98.2,186,519,0.358,0.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1196,0.6876971608832807,1170,28,0,0,1196,1,1,100.0,0,0.0,722,3934,2459,0,1,0,0,0,630,0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,6.0,0.0,100.0,2022-23,,,0.0,GK,Goalkeeper,576.0,3.713572066704308,0.7752708954583982,2022,0.3583815028901734,37.740145915137326,-11.428571428571429,1.1,39.62715321089419,-0.3728467891058074,0,68.5,0.0,,,,0.5592105263157895,0.7631578947368421,,,,0.25,,,0.3947368421052631,,,0.1381578947368421,0.25,,,,37.740145915137326,,
538,Aaron Wan-Bissaka,Manchester Utd,25.0,cd COD,DF,24.0,1997.0,19,16,1435,15.9,0,0,0,0,0,0,2.0,0.0,1.2,1.2,1.0,2.2,41,55,64,0.0,0.0,0.0,0.0,0.0,0.0752613240418118,0.0627177700348432,0.14,0.07,0.14,Matches,0,10,2,20.0,0.63,0.13,0.0,0.0,14.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2,706,840,84.0,9538,3292,448,483,92.8,194,240,80.8,28,44,0.636,0.9,-1.0,40,25,20,17,3,23,25,92.0,2,24,8,16,1026,0.0591482649842271,346,400,286,44,1026,35,17,48.6,18,51.4,524,2614,1370,41,24,4,14,10,600,64,2.0,0.0,0.0,11.0,2.0,0.0,14.0,22.0,25.0,0.0,0.0,0.0,73.0,13.0,17.0,43.3,2022-23,,,2.2,DF,Defender,576.0,3.258096538021482,0.1955209391301064,2022,0.6363636363636364,15.449068374531128,-6.863578797009719,1.1,16.221521793257686,-8.778478206742314,0,84.0,1.2,0.4328767123287671,,,,,0.589041095890411,,,,,0.6410958904109589,,,,,,0.6794520547945205,0.7506849315068493,0.7534246575342466,15.449068374531128,,
143,Abdoulaye Doucoure,Everton,12.0,ml MLI,MF,29.0,1993.0,25,17,1533,17.0,5,2,7,5,0,0,6.0,1.0,2.4,2.4,2.2,4.6,23,38,66,0.2935420743639921,0.1174168297455968,0.41,0.29,0.41,0.1409001956947162,0.1291585127201565,0.27,0.14,0.27,Matches,5,20,8,40.0,1.17,0.47,0.25,0.63,13.2,0,0,0,2.4,2.4,0.12,2.6,2.6,430,548,78.5,5637,1333,262,317,82.6,140,170,82.4,7,13,0.538,1.4,-0.2,31,20,9,15,7,12,37,32.4,25,26,3,23,713,0.0141955835962145,156,327,242,45,713,33,20,60.6,11,33.3,371,1689,896,23,16,7,27,13,440,66,6.0,1.0,0.0,21.0,4.0,8.0,8.0,13.0,20.0,0.0,1.0,0.0,100.0,13.0,30.0,30.2,2022-23,,,4.6,MF,Midfielder,841.0,2.5649493574615367,0.001344027858223,2022,0.5384615384615384,26.336281186473286,5.079664558799742,0.9,25.01946712714962,13.019467127149621,0,78.5,2.4,,0.8485714285714285,0.6914285714285714,,,,,0.9114285714285716,,0.7814285714285715,,,0.7057142857142857,0.72,,,,,,26.336281186473286,,
30,Adam Armstrong,Southampton,10.0,eng ENG,"FW,MF",25.0,1997.0,30,14,1335,14.8,2,1,3,2,0,0,2.0,0.0,2.1,2.1,1.3,3.3,39,16,70,0.1348314606741573,0.0674157303370786,0.2,0.13,0.2,0.1415730337078651,0.0876404494382022,0.23,0.14,0.23,Matches,2,25,12,48.0,1.69,0.81,0.08,0.17,15.9,0,0,0,2.1,2.1,0.08,-0.1,-0.1,220,302,72.8,3235,585,120,146,82.2,71,89,79.8,13,23,0.5650000000000001,0.8,-0.3,14,9,6,5,3,3,10,30.0,7,15,3,12,458,0.0086750788643533,71,176,222,46,458,43,13,30.2,25,58.1,255,2338,996,39,29,11,24,22,273,70,2.0,0.0,0.0,17.0,9.0,2.0,14.0,5.0,9.0,0.0,0.0,0.0,54.0,5.0,21.0,19.2,2022-23,,,3.4000000000000004,FW,Forward,625.0,2.3978952727983707,0.0009854605718138,2022,0.5652173913043478,17.361647721424305,5.7142857142857135,1.0,18.22973010749552,8.22973010749552,0,72.8,2.1,,0.3096774193548387,0.3096774193548387,,,,0.5870967741935483,0.4580645161290322,,0.5935483870967742,,,0.4354838709677419,,,,,,,17.361647721424305,,
180,Adam Forshaw,Leeds United,1.2,eng ENG,MF,30.0,1991.0,12,5,479,5.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.9,4,33,7,0.0,0.0,0.0,0.0,0.0,0.0,0.1691022964509394,0.17,0.01,0.17,Matches,0,1,0,0.0,0.19,0.0,0.0,,26.4,0,0,0,0.0,0.0,0.03,0.0,0.0,196,244,80.3,3318,1127,102,111,91.9,59,67,88.1,28,51,0.549,0.6,-0.9,12,9,5,7,0,7,17,41.2,10,9,1,8,293,0.0055205047318611,64,171,62,1,293,11,8,72.7,3,27.3,179,1085,360,4,8,0,6,8,186,7,0.0,0.0,0.0,6.0,5.0,0.0,20.0,4.0,9.0,0.0,0.0,0.0,37.0,2.0,6.0,25.0,2022-23,,,0.9,MF,Midfielder,900.0,0.7884573603642702,0.0003923620230753,2022,0.5490196078431373,11.559638977492806,10.89563999956109,0.9,9.825693130868885,8.625693130868886,-5,80.3,0.0,,0.9371428571428572,0.1142857142857142,,,,,0.2542857142857143,,0.31,,,0.8257142857142857,0.2557142857142857,,,,,,11.559638977492806,,
287,Adam Lallana,Brighton,1.2,eng ENG,"MF,FW",34.0,1988.0,16,12,722,8.0,2,1,3,2,0,0,0.0,0.0,0.9,0.9,1.0,1.9,10,33,43,0.2493074792243767,0.1246537396121883,0.37,0.25,0.37,0.1121883656509695,0.1246537396121883,0.23,0.11,0.23,Matches,2,8,5,62.5,1.0,0.62,0.25,0.4,13.3,0,0,0,0.9,0.9,0.11,1.1,1.1,262,317,82.6,3033,656,173,194,89.2,57,74,77.0,6,9,0.667,1.2,0.0,9,4,6,2,1,0,7,0.0,7,6,0,6,373,0.0047318611987381,43,180,151,33,373,6,3,50.0,3,50.0,206,839,420,10,4,4,15,11,295,43,0.0,0.0,0.0,2.0,7.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,25.0,8.0,9.0,47.1,2022-23,,,1.9,MF,Midfielder,1156.0,0.7884573603642702,0.0012533283665178,2022,0.6666666666666666,19.869469966745523,2.0937055919459144,0.8,16.889049471733696,15.689049471733696,-5,82.6,0.9,,0.6542857142857142,0.6228571428571429,,,,,0.8771428571428571,,0.7028571428571428,,,0.6771428571428572,0.74,,,,,,19.869469966745523,,
481,Adam Smith,Bournemouth,1.2,eng ENG,DF,31.0,1991.0,37,34,2943,32.7,0,1,1,0,0,0,11.0,0.0,0.5,0.5,1.3,1.8,28,83,54,0.0,0.0305810397553516,0.03,0.0,0.03,0.0152905198776758,0.0397553516819571,0.05,0.02,0.05,Matches,0,5,1,20.0,0.15,0.03,0.0,0.0,16.2,0,0,0,0.5,0.5,0.1,-0.5,-0.5,953,1264,75.4,16233,6898,450,513,87.7,398,501,79.4,88,194,0.454,1.5,-0.3,49,29,27,19,3,29,60,48.3,31,30,13,17,1527,0.0883280757097791,602,650,296,17,1527,30,6,20.0,17,56.7,647,2762,1368,28,21,3,21,4,771,54,11.0,0.0,0.0,29.0,27.0,0.0,48.0,25.0,29.0,0.0,1.0,0.0,128.0,29.0,38.0,43.3,2022-23,,,1.8,DF,Defender,961.0,0.7884573603642702,0.2338053002335094,2022,0.4536082474226804,15.923234323137429,12.85672095282734,0.8,13.534749174666814,12.334749174666815,0,75.4,0.5,0.4328767123287671,,,,,0.5863013698630137,,,,,0.8041095890410959,,,,,,0.7917808219178082,0.8328767123287671,0.7917808219178082,15.923234323137429,,
543,Adam Webster,Brighton,25.0,eng ENG,DF,27.0,1995.0,27,23,1985,22.1,0,0,0,0,0,0,2.0,0.0,1.8,1.8,0.2,1.9,19,119,9,0.0,0.0,0.0,0.0,0.0,0.0816120906801007,0.0090680100755667,0.09,0.08,0.09,Matches,0,18,2,11.1,0.82,0.09,0.0,0.0,11.2,0,0,0,1.8,1.8,0.1,-1.8,-1.8,1514,1715,88.3,27890,10260,565,612,92.3,811,886,91.5,125,178,0.7020000000000001,0.4,-0.2,22,12,10,9,3,11,19,57.9,8,30,19,11,1888,0.1340694006309148,819,969,108,27,1888,8,3,37.5,4,50.0,1228,6306,3739,19,18,0,11,5,1369,9,2.0,0.0,0.0,10.0,6.0,1.0,2.0,19.0,12.0,0.0,0.0,1.0,143.0,60.0,27.0,69.0,2022-23,,,2.0,DF,Defender,729.0,3.258096538021482,0.1624185016508004,2022,0.702247191011236,30.699828240686234,-7.597076747734572,1.0,29.16483682865192,4.1648368286519215,0,88.3,1.8,0.9068493150684932,,,,,0.9452054794520548,,,,,0.93013698630137,,,,,,0.7917808219178082,0.4986301369863014,0.7054794520547946,30.699828240686234,,
